article_id,review_bucket,source,title,stored_ticker,improved_tickers,existing_detected,stonkwise_categories,improved_category,improved_direction,human_label,human_notes
5bceb997f84343b9e407e9955c54a178af69c0550ca5e7265aea9d794d03b462,legacy_false_positive_candidate,TradingView News,Jun 17 TradingView GBP/USD: Pound Slides Toward $1.34 as UK Inflation Cools to 2.8% in May,,[],false,true,,,,
ee93fac39127ad68607dc8e0429bdfe151e512d53dcc435e0fb32dd055cb3fa6,ambiguous_or_no_supported_catalyst,TradingView News,"Jun 17 TradingView NFLX: Netflix Stock Sheds 3.6% on Acquisition Rumors. Some Are False, Some Aren’t",,[],false,false,,,,
c31093f7b899b6735e4eb9bd9653f17a5b831262f5ba39fe1712f372f8840797,legacy_false_positive_candidate,TradingView News,Jun 17 TradingView SPX: S&P 500 Futures Climb as Traders Await First Fed Decision Under New Chair,,[],false,true,,,,
ef34b6459ca8877f64b596bf4c458f7d269df4a1cf92f5dbda36d78f484f20a1,ambiguous_or_no_supported_catalyst,TradingView News,Jun 16 TradingView DJI: Dow Jones Hits Fresh Record After 470-Point Gain. Futures Take a Breather,,[],false,false,,,,
356700592f2041b6a7ae3fadcb7bc4e3b73aa860a7b3f70fffeededab1d964de,ambiguous_or_no_supported_catalyst,TradingView News,Jun 15 TradingView SPX: S&P 500 Futures Soar Over 1% as Traders Cheer US-Iran Peace Deal,,[],false,false,,,,
926c789a1e56bcbb32d69dd3db968a4942a1039d24465b6c630beeecf00f2244,ambiguous_or_no_supported_catalyst,TradingView News,Jun 16 TradingView USD/JPY: Dollar Stays Strong Above ¥160.20 as Bank of Japan Hikes Rates to 31-Year High,,[],false,false,,,,
6e3e6045e768dcf8f4a7a568466048a327029e166cf2f8255219603ac963f737,ambiguous_or_no_supported_catalyst,TradingView News,"Jun 15 TradingView XAU/USD: Gold Prices Soar Above $4,300 on US-Iran Peace Deal (But It Ain’t a Done Deal)",,[],false,false,,,,
075064789e6c88503c7501382c3107d7a9988600dc720b8582afc5ca006c89de,ambiguous_or_no_supported_catalyst,TradingView News,Jun 13 TradingView SPCX: SpaceX Stock Rockets 20% on Day 1 as Public Company. Guess Who’s a Trillionaire?,SPACEX,[],false,false,,,,
f7074e642d3900dce075b2fab60a8cb752a2c2bd42cd9a39bf6f6003f81d3ee6,ambiguous_or_no_supported_catalyst,TradingView News,Jun 18 TradingView AAPL: Apple Stock Ticks Up After Tim Cook Says Price Hikes Are ‘Unavoidable’,AAPL,[],false,false,,,,
3b58f257876b8a0657a4974d6765103ae241cf42942da467ce276730d366f6ec,legacy_false_positive_candidate,TradingView News,Jun 18 TradingView EUR/USD: Dollar Gains After New Fed Boss Vows to ‘Do Things a Little Different Round Here’,,[],false,true,,,,
9dfe7b37b22923052d731271dd51e364b69e4da9488b4f763ae21b2edaa2dd45,legacy_false_positive_candidate,TradingView News,Jun 18 TradingView IXIC: Nasdaq Futures Jump a Day After New Fed Chair Rocks Stocks with Bold Changes,,[],false,true,,,,
5763a4bba4ba9bd2671e71c31e079dc19070ce54052fb96f0df9136eb6f1a502,ambiguous_or_no_supported_catalyst,Finviz News,This imminent SpaceX development could make the stock even more volatile,SPACEX,[],false,false,,,,
2b792bef4eb97ca9ca8341338a555221af47f9bba2be323131f47a7352c583be,ambiguous_or_no_supported_catalyst,TradingView News,7 days ago TradingView DXY: US Dollar Hits 1-Year High as Rival Currencies Step Back Amid Rate-Hike Prospects,,[],false,false,,,,
a66ddbaed2b9f3bfca2412c3ff61f2b01da4776199e2485201330a0382e6518f,ambiguous_or_no_supported_catalyst,TradingView News,7 days ago TradingView SPCX: SpaceX Stock Wipes Out 18% from Record as Volatility Starts to Cut Both Ways,SPACEX,[],false,false,,,,
a74706d0120cebb212fa9ec00af36babb30393beb9b0a40dd7796648d0f1f53d,ambiguous_or_no_supported_catalyst,Finviz News,"$YOU.L: is YouGov really an AI loser? | Jonathan Cohen, Zipperline Capital",YOU.L,[],false,false,,,,
6a399022bae653e0fc28e4e1,ambiguous_or_no_supported_catalyst,TradingView News Flow,2 hours ago Reuters Questerre Energy Applies To List Preferred Shares On Euronext Growth Oslo,,[],false,false,,,,
c674759c016bcc1c75965662a501a5bacf17a05360799aa3b629250aee19c568,macro_indirect_effect,Finviz News,"Alan Greenspan, architect of the modern American economy, dies aged 100 As chairman of the Federal Reserve, Alan Greenspan became the world's most high-profile banker. 10 hrs ago US & Canada",,[],false,true,macroeconomic,uncertain,,
a80dcd08764ac87fc14942401b007f52696492f773b548544b6cb17f14598cf8,legacy_false_positive_candidate,Finviz News,"Alan Greenspan, former chairman of the Fed, dies at age 100",,[],false,true,,,,
6db50273ef2441b4f3228601388f87a5368716e28d6053440405951c3ff86ff6,legacy_false_positive_candidate,Finviz News,China Lays Out Blueprint to Boost Consumption of Clean Energy,,[],false,true,,,,
b5e1115fa25ebbce4253a8aca27b0d42317e735e870e1d45d05b9cc6de13404a,legacy_false_positive_candidate,Finviz News,Citadel Says Fed’s New Regime Could Stabilize Treasury Long End,,[],false,true,,,,
999a68a4ddb82f4037b02e3b70053853c30c837f05ffbad83035163a2f811d26,legacy_false_positive_candidate,Finviz News,Fed Funds Hikes Cloud The Outlook: Should Investors Worry?,,[],false,true,,,,
2d08d3af680ebc9a9551dc3cc65d5a3df7c83e46d48ae812de3c766d6b50e7d6,legacy_false_positive_candidate,Finviz News,How Much Does the Price of Oil Influence Interest Rates and Bond Yields?,,[],false,true,,,,
b4b6895db3bf20386ef9b62910e4079418a6290a65c8d22d1c0ad0aedd7f1b08,legacy_false_positive_candidate,Finviz News,Kevin Warsh And The End Of The Fed’s “Forward Guidance”,,[],false,true,,,,
19a30b4447c574c562ff35b8e1a7fccc470fe71a5e63dfea0b819c71acb9771f,legacy_false_positive_candidate,Finviz News,Preliminary evidence that both business expansion – and widespread inflation – have continued in June,,[],false,true,,,,
598b9edacbc68266e3c4712acc5d70921ecc2c9fc90912efe417038cecb9ac2e,legacy_false_positive_candidate,Finviz News,Saudi Central Bank Said to Pull Money From at Least Two Managers,,[],false,true,,,,
6a3aeb15bae653e0fc2ff7f8,existing_improved_agreement,TradingView News Flow,4 minutes ago Reuters Worthington Q4 revenue misses estimates on lower joint venture equity income,,"[""WOR""]",true,false,earnings_guidance,bearish,,
999721547b08a66e28627ea7c7e0d3f9fc4b0173006daef87d728e1b39d3d9aa,existing_improved_agreement,TradingView News,34 minutes ago Reuters Argentina's economy beats estimates with 2.3% growth in first quarter,,"[""FUNC""]",true,false,earnings_guidance,bullish,,
6a3af766bae653e0fc2ffc8f,existing_improved_agreement,TradingView News Flow,2 hours ago Reuters Space Exploration Technologies Announces Pricing Of $25 Billion Inaugural Bond Issuance SEC Filing Shows,,"[""SPCX""]",true,false,sec_filing,uncertain,,
0d09f830420bfbc5711d6afe60f31952c3221017349f5c1945465ebf931f5958,missed_by_existing_and_stonkwise,TradingView News,"21 minutes ago Stocktwits NKE Stock Gains 2% After-Hours As Nike Names New CFO, Reaffirms Outlook — Retail Calls Leadership Transition ‘Promising’",,"[""AFRM""]",false,false,management_change,uncertain,,
6a3b0c1cbae653e0fc3002f7,existing_improved_agreement,TradingView News Flow,5 minutes ago Quartr CBRS: Record revenue growth and major AI partnerships drive rapid expansion and margin improvement,,"[""CBRS""]",true,false,earnings_guidance,bullish,,
c9b4f3508954ba712fdfb0b26425c03248f05e289dc6b2ee7f52af26c7336e74,missed_by_existing_and_stonkwise,TradingView News Flow,28 minutes ago Reuters Tasmea Announces Acquisition Of JPS Group,,[],false,false,merger_acquisition,mixed,,
bb02896c889257f08a69158d120443ce4790aaeaae2bc5793ddb693ea97610ad,macro_indirect_effect,Finviz News,Bank of Canada Rejects Recession Label for Economy’s Weakness,,[],false,true,macroeconomic,uncertain,,
8c472d7299e86e0fc029d498ceec77e83c9b387869e9de01f31d9907ab3ffcfb,missed_by_existing_and_stonkwise,TradingView News,12 minutes ago TMX Newsfile Hyper Bit Technologies Announces Amended Agreement for Acquisition of Dogecoin Mining Technologies Corp.,,[],false,false,merger_acquisition,mixed,,
6a3c29f9bae653e0fc30920e,existing_improved_agreement,TradingView News Flow,"18 minutes ago Reuters FDA Approves Pfizer’S Ibrance Regimen For HR+,HER2+ Metastatic Breast Cancer Frontline Maintenance",,"[""PFE""]",true,false,fda_clinical,bullish,,
6a3c3c57bae653e0fc3093d0,existing_improved_agreement,TradingView News Flow,37 minutes ago Reuters Micron beats quarterly estimates on record revenue; guides Q4 higher as AI memory supercycle deepens,,"[""MU""]",true,false,earnings_guidance,bullish,,
a81a41c0324fa437ad813671512fb4e59ab7aeaed5b1a4588ba15c0a34cd0b5a,missed_by_existing_and_stonkwise,TradingView News,42 minutes ago Reuters Micron forecasts strong quarterly results on soaring memory chip demand,,[],false,false,earnings_guidance,uncertain,,
908b19f7266112f888585c03285b23a37ddab8ea8e6b0004f688fdb8202b6ae1,missed_by_existing_and_stonkwise,TradingView News,20 minutes ago The Block Bitcoin miners face deepening margin squeeze as revenue falls below production costs,,"[""XYZ""]",false,false,earnings_guidance,bearish,,
8f2058141d9d9708a718d8c48aeb20689ae5bad5d6c7057d1241294619b0134a,multi_ticker_event,TradingView News,12 minutes ago Reuters Bellring Brands - Approves Workforce Realignment To Optimize Efficiency - SEC Filing,,"[""BRBR"",""KFRC""]",true,false,sec_filing,uncertain,,
82f65ec138d803ae73ea2211ba0aec0c77b26f2b24d09776ffdb6479ea283f19,existing_improved_agreement,TradingView News,"12 minutes ago Reuters Chewy - Enters Seven-Year Senior Secured Term Loan Credit Facility On June 23, 2026 - SEC Filing",,"[""CHWY""]",true,false,sec_filing,uncertain,,
d1cec79a3ad58539c7aabc41e0cecacbcf95cde8fd2d3321b4119df773e9ef87,existing_improved_agreement,TradingView News,12 minutes ago Reuters The Crypto Company Audit Committee Concludes FY 2024 Audited Financial Statements Should No Longer Be Relied Upon - SEC Filing,,[],true,false,sec_filing,uncertain,,
15e75f4708e08754c56f4fa3abded395e4b38874be82e5f2e8abf83e913d5cd0,existing_improved_agreement,TradingView News,"13 minutes ago Reuters Americold Realty Trust - Enters Amended And Restated Credit Agreement On June 23, 2026 - SEC Filing",,"[""COLD""]",true,false,sec_filing,uncertain,,
f8fbafb57adcfb287fbd854e65dbab2fd670321ca6a7dd157cb52cf817ed8063,multi_ticker_event,TradingView News,"13 minutes ago Reuters Pimco Income Strategy Fund - Permitted To Invest In And/Or Originate Loans Effective June 24, 2026 - SEC Filing",,"[""MSTR"",""PFL""]",true,false,sec_filing,uncertain,,
4155f2fea1f699d515fd6c08d0c06f50bd68ed98b9d9560afc80e815375c69c4,existing_improved_agreement,TradingView News,"13 minutes ago Reuters Pimco Strategic Income Fund - Permitted To Invest Without Limitation In Commercial Mortgage-Related Securities Effective July 24, 2026 - SEC Filing",,"[""RCS""]",true,false,sec_filing,uncertain,,
6a3c5b7bbae653e0fc30bef5,existing_improved_agreement,TradingView News Flow,"36 minutes ago Reuters Elastic NV - Commits To Plan To Align Investments With Strategic Priorities On June 23, 2026 - SEC Filing",,"[""ESTC""]",true,false,sec_filing,uncertain,,
1051a9296d5578434abf216c89f332f48b54dec58434b51ce039653874c7f87b,existing_improved_agreement,TradingView News,1 hour ago Reuters Lincoln National Corp Files Final Term Sheet For Offering Of $500 Million 6.800% Fixed-To-Fixed Reset Subordinated Notes Due 2056 - SEC Filing,,"[""LNC""]",true,false,sec_filing,uncertain,,
0758e52b5eadd1311c163fd0f5476885b0de86ad872a24654ce85586e428d9c6,multi_ticker_event,TradingView News,"36 minutes ago Reuters Western Union -Enters First Amendment To Delayed Draw Term Loan Credit Agreement On June 17, 2026 - SEC Filing",,"[""FUNC"",""WU""]",true,false,sec_filing,uncertain,,
15f7593d3a655bdbcff0f04f594db90c7b8265826928a6bd2a5d9087ab4ff11c,missed_by_existing_and_stonkwise,TradingView News,34 minutes ago GlobeNewswire Western Union and Intermex Provide an Update on Pending Acquisition of Intermex,,"[""WU""]",false,false,merger_acquisition,mixed,,
6a3cc4c2bae653e0fc31477d,missed_by_existing_and_stonkwise,TradingView News Flow,15 minutes ago Reuters Standard Engineering Technology Approves Acquisition Of Up To 51% Equity In Gscale Energy,,[],false,false,merger_acquisition,mixed,,
6a3d9105adf9d422402bd42c,multi_ticker_event,TradingView News Flow,9 minutes ago dpa-AFX Onsemi To Acquire Synaptics In $7 Bln All-Stock Deal,,"[""ON"",""SYNA""]",false,false,merger_acquisition,mixed,,
21ddbfb84dbc7730522e36c46851489f66bd56208fa92e670329c6a8e1f84f17,missed_by_existing_and_stonkwise,TradingView News,17 minutes ago GlobeNewswire Proposed acquisition of Gottschalg Analytics Conditional EGM process,,[],false,false,merger_acquisition,mixed,,
6a3ec2aef573fe56c55667d0,missed_by_existing_and_stonkwise,TradingView News Flow,41 minutes ago Reuters Canada Finance Minister Approves Fairstone Bank's Acquisition Of Laurentian Bank's Shares,,"[""LB""]",false,false,merger_acquisition,mixed,,
54c8441b8ca8f2e6a23f75be13a1cbfa5ff445aab9a42db6b909af79c742f1f9,missed_by_existing_and_stonkwise,Finviz News Flow,GameStop pledges to pursue its takeover offer for eBay despite rejection,,"[""GME""]",false,false,merger_acquisition,mixed,,
70a52dde66dcb39309ebdd0ec82c71eeee34f0d76c037204eb37cb94686c4a5e,macro_indirect_effect,Finviz News Flow,Trump threatens 100% tariff on European nations over tech tax,,[],false,true,geopolitical,uncertain,,
b4ab1cf7cb03df6c416d11c1fce642e13981dfb229c6b9aede8e03641de9bc3c,macro_indirect_effect,Finviz News Flow,Trump Threatens 100% Tariffs on Europe Over Tech Taxes,,[],false,true,geopolitical,uncertain,,
